year,CZ_NAME_STR,BEGIN_LOCATION,month,date,time,time_zone,state,st_fips,ef_scale,length_miles,width_yards,county_fips,fips
2019,WASHINGTON CO.,TIBBIE,3,3/3/2019,1255,CST-6,AL,1,EF1,0.16,300,129,1129
2019,WASHINGTON CO.,SIMS CHAPEL,3,3/3/2019,1337,CST-6,AL,1,EF1,2.57,100,129,1129
2019,WALKER CO.,ELDRIDGE,2,2/23/2019,1843,CST-6,AL,1,EF0,1.01,140,127,1127
2019,TUSCALOOSA CO.,KELLERMAN,3,3/14/2019,1625,CST-6,AL,1,EF0,1.24,50,125,1125
2019,TUSCALOOSA CO.,HAGLER,4,4/14/2019,120,CST-6,AL,1,EF1,3.51,475,125,1125
2019,SHELBY CO.,SIMMSVILLE,4,4/14/2019,305,CST-6,AL,1,EF0,6.48,600,117,1117
2019,SHELBY CO.,CALERA,4,4/14/2019,314,CST-6,AL,1,EF0,2.97,125,117,1117
2019,SHELBY CO.,SOUTH NEWALA,12,12/16/2019,2207,CST-6,AL,1,EF0,2.29,200,117,1117
2019,ST. CLAIR CO.,WHITNEY,3,3/14/2019,1625,CST-6,AL,1,EF0,3.75,1175,115,1115
2019,ST. CLAIR CO.,ST CLAIR SPGS,3,3/14/2019,1654,CST-6,AL,1,EF0,4.71,530,115,1115
2019,RUSSELL CO.,KAOLIN,4,4/14/2019,814,CST-6,AL,1,EF0,0.57,50,113,1113
2019,RANDOLPH CO.,WEDOWEE,3,3/14/2019,2100,CST-6,AL,1,EF0,4.38,75,111,1111
2019,PIKE CO.,HENDERSON,4,4/14/2019,550,CST-6,AL,1,EF0,1,150,109,1109
2019,PIKE CO.,GOSHEN,4,4/14/2019,557,CST-6,AL,1,EF0,1.09,50,109,1109
2019,PIKE CO.,BRUNDIDGE MUNI ARPT,11,11/27/2019,905,CST-6,AL,1,EF0,0.48,65,109,1109
2019,PIKE CO.,TROY,4,4/14/2019,610,CST-6,AL,1,EF1,2.81,300,109,1109
2019,PICKENS CO.,DANCY,2,2/23/2019,1744,CST-6,AL,1,EF0,1.08,200,107,1107
2019,PERRY CO.,MORGAN SPGS,3,3/14/2019,1719,CST-6,AL,1,EF0,4.48,100,105,1105
2019,PERRY CO.,ELLAWHITE,3,3/14/2019,1827,CST-6,AL,1,EF0,2.7,300,105,1105
2019,PERRY CO.,SPROTT,4,4/14/2019,221,CST-6,AL,1,EF0,6.67,400,105,1105
2019,PERRY CO.,MORGAN SPGS,12,12/16/2019,2105,CST-6,AL,1,EF0,3.83,300,105,1105
2019,PERRY CO.,BETHLEHEM,3,3/14/2019,1737,CST-6,AL,1,EF1,9.13,300,105,1105
2019,MOBILE CO.,CHICKASAW,6,6/7/2019,1157,CST-6,AL,1,EF0,0.52,25,97,1097
2019,MOBILE CO.,SEVEN HILLS,10,10/25/2019,1519,CST-6,AL,1,EF0,0.09,25,97,1097
2019,MOBILE CO.,PRICHARD,11,11/7/2019,1335,CST-6,AL,1,EF0,0.38,25,97,1097
2019,MOBILE CO.,DAWES,10,10/25/2019,1512,CST-6,AL,1,EF1,1.34,75,97,1097
2019,MOBILE CO.,SEMMES,10,10/25/2019,1537,CST-6,AL,1,EF1,3.31,100,97,1097
2019,MARSHALL CO.,HYATT,4,4/8/2019,610,CST-6,AL,1,EF1,6.1,219,95,1095
2019,MARSHALL CO.,MC VILLE,5,5/9/2019,1230,CST-6,AL,1,EF1,0.48,25,95,1095
2019,MARION CO.,SHOTTSVILLE,4,4/13/2019,2257,CST-6,AL,1,EF1,1.21,440,93,1093
2019,MARENGO CO.,SIDDONSVILLE,3,3/14/2019,1739,CST-6,AL,1,EF0,5.06,150,91,1091
2019,MARENGO CO.,DEMOPOLIS MUNI ARPT,12,12/16/2019,2007,CST-6,AL,1,EF2,5.95,350,91,1091
2019,MADISON CO.,FISK,5,5/9/2019,1146,CST-6,AL,1,EF0,0.06,75,89,1089
2019,MADISON CO.,MT LEVENTOV,12,12/16/2019,1805,CST-6,AL,1,EF0,3.16,37,89,1089
2019,MADISON CO.,MONROVIA,12,12/16/2019,1754,CST-6,AL,1,EF1,1.25,25,89,1089
2019,MACON CO.,SOCIETY HILL,3,3/3/2019,1400,CST-6,AL,1,EF1,2.75,758,87,1087
2019,MACON CO.,CARVER COURT,3,3/3/2019,1427,CST-6,AL,1,EF2,19.16,1300,87,1087
2019,LIMESTONE CO.,LAWNGATE,12,12/29/2019,1850,CST-6,AL,1,EF0,5.07,50,83,1083
2019,LIMESTONE CO.,LAWNGATE,12,12/16/2019,1730,CST-6,AL,1,EF1,9.47,50,83,1083
2019,LEE CO.,MARVYN,3,3/3/2019,1446,CST-6,AL,1,EF1,9.91,1300,81,1081
2019,LEE CO.,BUPREE,3,3/3/2019,1403,CST-6,AL,1,EF4,23.55,1600,81,1081
2019,LAWRENCE CO.,RIGDOM,12,12/16/2019,1708,CST-6,AL,1,EF2,18.58,370,79,1079
2019,LAUDERDALE CO.,THORTONTOWN,12,12/16/2019,1720,CST-6,AL,1,EF1,2.9,500,77,1077
2019,LAMAR CO.,KINGVILLE,2,2/23/2019,1752,CST-6,AL,1,EF1,7.77,700,75,1075
2019,HOUSTON CO.,DOTHAN,5,5/12/2019,933,CST-6,AL,1,EF0,0.92,100,69,1069
2019,HOUSTON CO.,MADRID,12,12/17/2019,652,CST-6,AL,1,EF0,0.14,25,69,1069
2019,HENRY CO.,LAWRENCEVILLE,1,1/4/2019,438,CST-6,AL,1,EF0,0.15,35,67,1067
2019,HENRY CO.,SHORTERVILLE,3,3/3/2019,1639,CST-6,AL,1,EF0,3.37,75,67,1067
2019,HALE CO.,GALLION,4,4/14/2019,26,CST-6,AL,1,EF0,8.72,220,65,1065
